f1_test,f1_train,prec_train,prec_test,recall_train,recall_test,elapsed,model,tau,C
0.8314606741573034,0.8944182918628111,0.9527220630372492,0.8554913294797688,0.8428390367553865,0.8087431693989071,7.200502634048462,Pegasos QSVC,100,500
0.6200607902735563,0.6601796407185629,0.8062157221206582,0.6986301369863014,0.55893536121673,0.5573770491803278,0.236713171005249,Pegasos QSVC,10,200
0.7065637065637066,0.8117283950617283,0.6831168831168831,0.5462686567164179,1.0,1.0,3.211426019668579,Pegasos QSVC,50,750
0.5791139240506329,0.7166212534059945,0.5583864118895966,0.4075723830734966,1.0,1.0,0.9576420783996582,Pegasos QSVC,20,10
0.6906906906906908,0.7762039660056657,0.8796147672552167,0.7666666666666667,0.6945500633713562,0.6284153005464481,0.983609676361084,Pegasos QSVC,20,1000
0.0,0.0,0.0,0.0,0.0,0.0,0.0005970001220703,Pegasos QSVC,1,500
0.9476439790575916,0.9719276356830944,0.957002457002457,0.9095477386934674,0.9873257287705955,0.989071038251366,1122.768474817276,Pegasos QSVC,400,500
0.8948655256723717,0.9563106796116504,0.9173457508731082,0.8097345132743363,0.9987325728770596,1.0,82.53244113922119,Pegasos QSVC,300,200
0.7278481012658228,0.7724240177909563,0.9303571428571428,0.8646616541353384,0.6603295310519645,0.6284153005464481,1.4136230945587158,Pegasos QSVC,20,100
0.8452655889145496,0.905638665132336,0.8292939936775553,0.732,0.9974651457541192,1.0,546.3493151664734,Pegasos QSVC,400,10
0.9378238341968912,0.9681050656660414,0.9555555555555556,0.8916256157635468,0.9809885931558936,0.989071038251366,71.72264909744263,Pegasos QSVC,300,1000
0.912718204488778,0.9650949173300674,0.933649289099526,0.8394495412844036,0.9987325728770596,1.0,39.4755289554596,Pegasos QSVC,200,100
0.8375286041189932,0.9006849315068493,0.8193146417445483,0.7204724409448819,1.0,1.0,18.915498971939087,Pegasos QSVC,200,500
0.6457142857142858,0.7177700348432056,0.7972136222910217,0.6766467065868264,0.6527249683143219,0.6174863387978142,0.2129149436950683,Pegasos QSVC,10,750
0.7623529411764707,0.8641370869033048,0.8355029585798817,0.6694214876033058,0.8948035487959443,0.8852459016393442,2.34531831741333,Pegasos QSVC,20,500
0.9081885856079404,0.9633699633699636,0.9293286219081272,0.8318181818181818,1.0,1.0,221.1314141750336,Pegasos QSVC,400,100
0.5903225806451613,0.727188940092166,0.5713251267197683,0.4187643020594965,1.0,1.0,0.3079891204833984,Pegasos QSVC,10,1000
0.7956521739130434,0.8684645019262521,0.7675097276264592,0.6606498194945848,1.0,1.0,2.248671054840088,Pegasos QSVC,50,200
0.0,0.0,0.0,0.0,0.0,0.0,0.0006818771362304,Pegasos QSVC,1,750
0.5111731843575419,0.6666666666666666,0.5,0.3433395872420263,1.0,1.0,0.0005803108215332,Pegasos QSVC,1,1000
0.8095238095238095,0.8513689700130378,0.876510067114094,0.7846153846153846,0.8276299112801014,0.8360655737704918,1.9466230869293213,Pegasos QSVC,50,500
0.8797653958944281,0.879286694101509,0.9581464872944694,0.9493670886075948,0.8124207858048162,0.819672131147541,9.103164911270142,Pegasos QSVC,100,750
0.9411764705882352,0.9708121827411168,0.972045743329098,0.9214659685863874,0.9695817490494296,0.9617486338797814,25.60570597648621,Pegasos QSVC,200,200
0.9481865284974093,0.9627329192546584,0.943970767356882,0.9014778325123152,0.982256020278834,1.0,8.056774854660034,Pegasos QSVC,100,1000
0.7833333333333333,0.8525683789192795,0.9,0.7966101694915254,0.8098859315589354,0.7704918032786885,1.3601701259613037,Pegasos QSVC,20,200
0.9195979899497488,0.971041281577326,0.9448441247002398,0.8511627906976744,0.9987325728770596,1.0,1964.9172489643097,Pegasos QSVC,300,100
0.931297709923664,0.9710769230769232,0.94377990430622,0.8714285714285714,1.0,1.0,118.45186305046082,Pegasos QSVC,400,1000
0.8970588235294117,0.953995157384988,0.9130938586326768,0.8133333333333334,0.9987325728770596,1.0,72.07304692268372,Pegasos QSVC,300,500
0.8066825775656324,0.859880239520958,0.8149829738933031,0.7161016949152542,0.9100126742712294,0.9234972677595628,5.054986953735352,Pegasos QSVC,50,10
0.7721518987341772,0.8514316585629389,0.7419962335216572,0.6288659793814433,0.9987325728770596,1.0,3.502462148666382,Pegasos QSVC,50,100
